# 民生加银刘浩交流
# detected_language=zh probability=1.000
# duration_seconds=3806.7

[000000.0-000013.0] 当时也跟我提过就是有两个部分,一个就是有防护的,它可能偏那个有点收益率的,它的五分钱收益率比较每家收益率的,然后国内的是国家收益率嘛。
[000013.0-000029.0] 其实我们其实是比较希望受外类的影响相对小一点,所以其实这部分选的大部分是兵股内的那个产品,所以是优选,优选那支是只托一股的,对不对?
[000029.0-000059.0] 对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对
[000059.0-000061.4] 我的时候大概是什么样的一个思路
[000061.4-000063.8] 比如说有些
[000063.8-000065.4] 比如像有些经济
[000065.4-000067.4] 它因为就是价值的经济
[000067.4-000068.8] 但是背景差异很大
[000068.8-000070.8] 选择的其实差异非常大
[000070.8-000074.4] 有的人他可能会特别偏某一些行业
[000074.4-000076.2] 那虽然它是假的
[000076.2-000077.8] 但是它行业增长度高了
[000077.8-000080.4] 它其实波动力也很大
[000080.4-000082.0] 所以看看你这边组合过剑
[000082.0-000084.8] 它还是什么样的一个思路
[000084.8-000088.8] 女士 首先从表报上来看
[000088.8-000091.8] 其实我的组合相对来说是非常的风散
[000091.8-000094.8] 就是行业风散 非常的风散
[000094.8-000098.8] 大概最多的行业是12%到13%
[000098.8-000102.8] 然后有67个行业本地都是10%左右
[000102.8-000107.8] 然后就是并没有说那个行业占地特别的多
[000107.8-000109.8] 然后具体的方向上的风度
[000109.8-000112.8] 其实之前也跟大家就交流过
[000112.8-000117.3] 25%左右是通負在全球定價的資源品
[000117.3-000119.7] 主要是石油和煤炭
[000119.7-000122.0] 之前1月份之前主要是油色
[000122.0-000125.0] 2月份後把油色先換成石油和煤炭
[000125.0-000127.1] 現在仍然是這樣一個水平
[000127.1-000130.9] 40%左右是深度價值的個額
[000130.9-000132.9] 也就是一些減年地的標的
[000132.9-000134.9] 基本上都是一些資產不代表
[000134.9-000137.0] 現金就和市值差不多
[000137.0-000139.6] 甚至還要更多一些
[000139.6-000142.8] 自由现金有相比于市值的底地
[000142.8-000144.0] 债币非常的大
[000144.0-000145.2] 然后也比较稳定
[000145.2-000146.2] 川普让步的很好
[000146.2-000147.2] 加一些标记
[000147.2-000148.8] 大部分这种标记
[000148.8-000150.4] 它都有一个明显的转板
[000150.4-000152.2] 导致它的估值比较低
[000152.2-000154.7] 比如说它的流动性比较差
[000154.7-000157.4] 一天的交易量就只有500-600万
[000157.4-000159.2] 港币或者500-600万
[000159.2-000160.6] 人民币的话也就
[000160.6-000163.2] 两三千万的人云币这种交易量
[000163.2-000165.4] 但是我很喜欢这种交易量低的
[000165.4-000167.4] 因为我也不准备去做换手
[000167.4-000168.6] 这个公司跌多了
[000168.6-000171.2] 我也自己很愿意去买
[000171.2-000172.7] 然后要么就是这个行业
[000172.7-000176.9] 处在一个非常大家无人问津的状态
[000176.9-000178.9] 就是大家不觉得他性感
[000178.9-000184.5] 不觉得他是和和和和增长科技相关
[000184.5-000187.6] 但是实际上他在过去的20年30年
[000187.6-000189.3] 就能持续给这个利润
[000189.3-000190.8] 这种就是我喜欢的
[000190.8-000193.6] 这也是我深度价值的选配的方向
[000193.6-000196.0] 然后最后一个方向是
[000196.0-000198.4] 就是消费的平台型的公司
[000198.4-000200.2] 比如说像美币
[000200.2-000205.2] 然后上一次也说到的这种奶头乐的公司
[000205.2-000207.0] 像是腾讯和
[000207.0-000209.1] 就是有一些这种
[000209.1-000211.7] 嗯这个65W这种
[000211.7-000214.1] 我觉得就是这种又便宜
[000214.1-000217.2] 然后又是有一些奶头乐属性的标的
[000217.2-000220.9] 然后这个占地大概是30%左右的仓位
[000220.9-000222.4] 嗯然后这是从
[000222.4-000226.8] 是是30是指那个消费品牌
[000226.8-000227.7] 消费品牌
[000227.7-000232.3] 然后加上买头的加上全球功用的这种拼台型的文字
[000232.3-000235.3] 所以这功用的拼台型文字最典型的就是
[000235.3-000237.9] 我买比加持的资产买的比较多
[000237.9-000240.9] 变能实业 反而是鸡牙头和长河
[000240.9-000243.3] 大概占比加起来有八个点左右
[000243.3-000245.9] 然后这一块资产里面
[000245.9-000249.5] 我去年买那个渣达贵东买的比较多
[000249.5-000250.7] 买了六七个点
[000250.7-000255.1] 今年这个这个其实慢慢的减下去了
[000255.1-000259.3] 就因为漲幅实在太大,pb,roe模型超在下来
[000259.3-000262.9] 现在这个位置合理,但是不算是特别有性价比的位置
[000262.9-000266.7] 你说的涨得多是什么程度啊,就是比如说你的贵
[000266.7-000271.1] 我买的时候是像渣达的话,重仓的时候是0.7倍的pb
[000271.1-000273.9] 现在是1.4倍到1.5倍的pb
[000273.9-000279.7] 然后当时买入的逻辑是基于它指引ROT是12到13的点
[000279.7-000281.9] 现在指引ROT往上修了
[000281.9-000285.5] 修到了13.5到14.5这样一个区间
[000285.5-000287.8] 然后它的PB呢
[000287.8-000290.0] 就是从之前的0.7倍
[000290.0-000291.9] 涨到了1.4到1.5倍
[000291.9-000293.7] 一般银行的PB
[000293.7-000296.2] 就是比较好的这种银行PB
[000296.2-000301.1] 比ROE是在这个1以上这个区间
[000301.1-000302.1] 1到1.5
[000302.1-000303.4] 美国银行是
[000303.4-000305.9] 美国的那些银行是大家认可是最高的
[000305.9-000308.6] 大家供认资本冲突率是最强的
[000308.6-000310.9] 所以一般来说这种情况
[000310.9-000314.4] 他们的批评到1.5-2这个区间
[000314.4-000317.9] 我当时买入逻逻辑也是因为觉得扎达和惠芬
[000317.9-000319.8] 他们的底层逻辑
[000319.8-000322.9] 他们的这个基本面不比美国银行差
[000322.9-000324.4] 所以我觉得美国的银行
[000324.4-000326.4] 他批评到1.5-2
[000326.4-000329.6] 中国这些银行不应该比他差太多
[000329.6-000331.6] 就是美国银行你看
[000331.6-000333.3] 美国的复国
[000333.3-000335.9] 美国的这个美国银行
[000335.9-000337.1] 还有莫格纳通
[000337.1-000338.1] 他们的批避
[000338.1-000339.1] 单看批避的话
[000339.1-000343.9] 其實都是2左右 1.8到2這個區間
[000343.9-000347.4] 然後匯豐和渣黨之前是因為
[000347.4-000352.7] 大家覺得他們做的是第三世界和中國的這個生意
