# 万家基金乔良路演
# detected_language=zh probability=1.000
# duration_seconds=3340.1

[000013.0-000023.0] 非常感谢各位领导百忙之中来参加我们这边的这么一个路演。
[000023.0-000029.0] 下面的话,我们就简单给大家讲讲,先简单讲一下我们的产品线吧。
[000029.0-000035.0] 我们现在介绍一下我们的量化的这个物件量化的一个产品情况。
[000035.0-000042.0] 我们现在整体,物件量化大概整体规模大概差不多公布这块,差不多最近七远一远。
[000042.0-000046.2] 然后呢就是被动和主动这一半大概差不多更一半
[000046.2-000050.0] 然后呢被动指数呢主要是一些这个一天产命
[000050.0-000053.3] 然后这个就是今天不做今天的一个重点
[000053.3-000056.7] 今天主要是集中在主动量化这块
[000056.7-000061.5] 就是包括指数增强主动量化以及绝对收益相关的一些产命
[000062.6-000067.5] 那么下面的话就严规正传给大家讲讲我们的这个啊
[000067.5-000070.5] 把我们要增强的这么一个策略
[000070.5-000072.9] 那首先介绍了一下这个指数本身
[000072.9-000077.5] 相信各位领导对于把我们要可能也有一定的了解
[000077.5-000080.0] 从他的这个定义而讲的话
[000080.0-000082.3] 其实是相当比较简单的
[000082.3-000089.3] 就是说我们是把这个这个指数本身是基于万德的这个指数公
[000089.3-000092.7] 万德的这种这么一个APP吧
[000092.7-000094.8] 就是当然也是一个数理提供公司
[000094.8-000096.7] 他自己做的这个指数
[000096.7-000102.2] 他就是把万德基金库里面的属于这种偏顾粉基金
[000102.2-000107.0] 大概差不多有五六千支作为它的一个库
[000107.0-000111.2] 然后每天把这五六千支的基金做一个收益的排序
[000111.5-000113.8] 取出中间那支基金
[000113.8-000115.7] 也就是说每一天可能有一半的
[000115.7-000119.2] 这五六千支基金里面有一半的基金的收益会比这个高
[000119.2-000121.6] 一半给它提,这就是中文书的概念
[000121.6-000124.5] 中文书的收益作为基金指设的收益
[000124.5-000129.1] 然后这个指数本身呢,就是说长期收益大家可以看得出来是比较好的
[000129.1-000133.2] 从17年的1月份一直到今年的8月底
[000133.2-000136.1] 去年收益大概有115
[000136.1-000141.2] 对吧,作为比较的话,它是很明显的好,让大家通常作为基准的这个
[000141.2-000144.1] 或者300和中的500,这两个指数
[000144.1-000151.7] 时间呢,就是说,可以很明显的看到,就是它的收益是115,然后300的大概是38个点
[000151.7-000154.5] 500的大概是26五年左右
[000154.9-000156.9] 然后仔细看右边两列
[000156.9-000160.3] 就是他列出了8501相对于300和500
[000160.3-000162.1] 每一年的这个超过收益
[000162.3-000164.3] 那你会发现就是说
[000164.3-000166.6] 虽然说他整体的收益很强
[000166.6-000168.7] 从左下角的这个
[000168.9-000170.5] 图上也看得很明显
[000170.7-000172.8] 但是呢他的这个超过收益的来源
[000172.8-000174.6] 每一年其实非常不幸福
[000174.6-000176.5] 就是说在这个
[000176.7-000179.1] 2019年2020年
[000179.1-000181.1] 以及去年和今年很明显
[000181.1-000182.8] 这个指数是表现非常好
[000182.8-000186.5] 大部分讨赢了三百五百
[000186.5-000188.1] 但是在其他的年份的时候
[000188.1-000189.9] 可能它往往是介于两者之间
[000189.9-000193.8] 甚至说可能是在这个预量的多差
[000193.8-000196.0] 比如说23年24年
[000196.0-000198.7] 那么这个是什么原因造成的呢
[000198.7-000202.7] 就是说因为首先我们先理解一件事情
[000202.7-000206.5] 就是说大家对于这个基金指数这个事情
[000206.5-000208.4] 它本身代表是一个中位数
[000208.4-000211.1] 也就是说 举2020年为例子
[000211.1-000213.9] 2020年的这个八卦目标是56点
[000213.9-000215.9] 55.9 56点
[000215.9-000219.0] 比380.7比530.5点
[000219.0-000222.2] 这个其实是一个非常惊人的一个数字
[000222.2-000223.3] 为什么呢
[000223.3-000226.4] 因为这个收益它不是来自于某一支基金
[000226.4-000229.1] 它是中卫书委的意味着在2020年
[000229.1-000232.0] 那时候可能整体主动权威规模
[000232.0-000233.8] 可能有七八万亿
[000233.8-000236.3] 也就是说大概七八万亿的规模里面
[000236.3-000237.7] 大概有三四万亿
[000237.7-000239.6] 这三万亿到四万亿的这么一个基金
[000239.6-000243.4] 它的收益是比市场上最大的两个宽基指数要好
[000244.1-000245.2] 三十多个点
[000245.2-000247.2] 这个我觉得实际上是一件
[000247.2-000248.3] 就大家想象一下
[000248.3-000251.7] 这个事情是非常难出现的
